file_name,Spanish,English,Score
B2_translate.json,¿Qué planeas hacer mañana,What do you plan to do tomorrow,5
B2_translate.json,Dudo que haga algo mañana,I doubt that I'll do anything tomorrow,5
B2_translate.json,"Por favor, discúlpame un momento. Quiero hacer algo",Please excuse me for a little while. I want to do something,5
B2_translate.json,Me imagino que haré algo de trabajo en lugar de ir al cine,I imagine I’ll do some work instead of going to the movies,5
B2_translate.json,¿Te será conveniente explicarle tus planes a él,Will it be convenient for you to explain your plans to him,5
B2_translate.json,No hay nada que hacer porque mañana es feriado,There’s nothing to do because tomorrow is a holiday,5
B2_translate.json,¿Qué planea hacer tu hermano mañana,What’s your brother planning to do tomorrow,5
B2_translate.json,No puede decidir qué hacer,He can’t decide what to do,5
B2_translate.json,Es difícil tomar una decisión sin conocer todos los hechos,It’s difficult to make a decision without knowing all the facts,5
B2_translate.json,Estamos tratando de planear nuestro futuro,We're trying to plan our future,5
B2_translate.json,Esa es una buena idea,That’s a good idea,5
B2_translate.json,Espero pasar unos días en las montañas,I’m hoping to spend a few days in the mountains,5
B2_translate.json,¿Considerarías ir al norte este verano,Would you consider going north this summer,5
B2_translate.json,"Si hay una posibilidad de que vayas, me gustaría ir contigo","If there’s a chance you'll go, I’d like to go with you",5
B2_translate.json,"Después de pensarlo, por favor dime qué decides","After you think it over, please let me know what you decide",5
B2_translate.json,Estoy ansioso por saber cuál es tu decisión,I'm anxious to know what your decision is,5
B2_translate.json,Estoy seguro de que has tomado la decisión correcta,I'm confident you’ve made the right choice,5
B2_translate.json,Quiero persuadirte de cambiar de opinión,I want to persuade you to change your mind,5
B2_translate.json,¿Aceptarás mi consejo,Will you accept my advice,5
B2_translate.json,¿Qué has decidido,What have you decided,5
B2_translate.json,Definitivamente he decidido ir a California,I’ve definitely decided to go to California,5
B2_translate.json,No quería decir nada para influir en mi decisión,He didn’t want to say anything to influence my decision,5
B2_translate.json,Ella se niega a tomar una decisión,She refuses to make up her mind,5
B2_translate.json,Supongo que has decidido no comprar un coche nuevo,I assume you’ve decided against buying a new car,5
